ratio,cent_y,cent_x,eccentricity,solidity,skew_x,skew_y,kurt_x,kurt_y,output
0.19582382121217323,0.5238056929764779,0.4124372425235503,0.5977688825034532,0.25281714330035127,-0.3211519746153257,-0.2587220581785966,-0.9258229726264338,-0.6965939907386134,1
0.21027714871131242,0.5543964181535339,0.48704076256123363,0.6540555615202852,0.29463138967377345,-0.4030942530358125,-0.2966001386117559,-1.0204946311364491,-0.6072254056873283,1
0.21341900587183607,0.5503446897391446,0.4345476315030565,0.5840050252195095,0.2747774064639761,-0.36106699402144743,-0.49299133779706966,-0.8770697198310691,-0.44845289107979625,1
0.22531604896123067,0.5848397661301805,0.4431418486725394,0.5206978458417936,0.2972407306831278,-0.37234384794768627,-0.43412511892760064,-0.9213376881864836,-0.5552747033302583,1
0.23558718861209965,0.5646414816791456,0.4423717432941637,0.6969871942212594,0.3278291930508199,-0.2934562298522351,-0.2033286295084125,-0.9820278781780658,-0.5824251349446663,1
0.2441227303015159,0.5777202435495477,0.5458813894577395,0.6731420820610398,0.30233382760621497,-0.4046731296802471,-0.3890903642059936,-1.1588111159750492,-0.7300969649538382,0
0.21350261327626652,0.5097564176543372,0.5656130805490219,0.7507692305773417,0.27578782852768563,-0.3896910844233632,-0.011411759575075299,-1.222438099108734,-0.5215303063757628,0
0.17954811063498247,0.5448861850259059,0.5076011176390229,0.6382916864837813,0.23941475239524415,-0.5162931820031111,-0.20543608993916826,-1.012014581789447,-0.8139290762590776,0
0.1599541876972659,0.5569819375447251,0.5397151016277637,0.6014414545320189,0.22191018501753362,-0.5623822787460878,-0.15738729443857488,-0.9445159074598948,-0.7887006632671234,0
0.18035402045557977,0.5574364180052125,0.5069439926526688,0.6724299958942972,0.23913816758981657,-0.48081166704284406,-0.3341579156308062,-0.9878368536907147,-0.7441920787426048,0
